av_add_atom, 109,61,76,74,82,83,65,58,57,57,61,70,57,58,58,55,59,56,59
sd_add_atom, 242,57,46,37,34,33,29,25,19,19,20,20,16,17,18,14,16,11,17
av_add_bond, 443,550,807,984,1236,1452,1438,1438,1660,1734,1970,2563,2414,2505,2729,2892,3296,3324,3689
sd_add_bond, 712,170,153,191,198,250,296,181,912,26,216,1232,296,154,187,177,1022,326,527
av_bond_exists_1, 230,305,370,376,394,401,383,366,403,370,587,416,401,392,401,394,407,408,425
sd_bond_exists_1, 212,44,89,69,40,40,48,25,323,12,2036,44,39,19,26,9,32,28,42
av_bond_exists_2, 243,318,373,374,397,406,386,374,374,374,385,419,405,394,402,397,414,409,422
sd_bond_exists_2, 161,91,82,47,40,41,44,42,16,12,26,40,33,18,21,10,34,23,35
av_get_bond_type, 209,303,354,369,390,406,386,369,369,373,379,420,398,390,398,396,410,410,419
sd_get_bond_type, 143,43,45,59,48,38,58,26,16,13,21,42,38,18,25,10,37,25,32
av_get_bond_pairs, 900,1455,2103,2468,3066,3666,3540,3720,3915,4313,4854,6295,5855,5993,6402,6740,7411,7949,8669
sd_get_bond_pairs, 642,492,507,554,555,696,804,740,100,61,595,3145,1017,316,441,243,973,2567,2370
av_get_bonded_atom_indices, 717,1341,2095,2416,3000,3691,3558,3688,3897,4294,4856,5972,5738,6191,6820,6909,7570,7674,8253
sd_get_bonded_atom_indices, 533,257,560,522,558,708,827,663,57,75,537,968,625,2263,4015,2011,1984,840,916
av_validate, 750,3836,9036,12219,15198,19683,20114,21624,22713,26238,29335,36164,35401,37872,39565,41374,44044,47779,52251
sd_validate, 1258,3725,5674,6406,6622,6956,6920,11011,5850,4728,5055,8084,7094,6929,6105,5480,6857,7032,8927
av_remove_bond, 251,440,699,818,1056,1292,1169,1174,1265,1419,1678,2169,2080,2182,2392,2575,2791,2938,3254
sd_remove_bond, 161,89,156,167,211,252,293,199,51,26,265,410,253,186,224,589,308,208,403
av_remove_atom, 183,440,754,954,1292,1622,1585,1755,1935,2186,2522,3082,3052,3258,3519,4136,4069,4331,4733
sd_remove_atom, 268,136,146,182,246,289,294,428,82,40,287,454,253,241,255,3958,346,303,512
